ID,TIME,FEEDBACK,N_FIGURES,TRIAL,RM,SELECTED,LATENCY,ACCURACY
AG1209MALE20,120,0,3,experiment,75,D3,10.9204584,0
AG1209MALE20,120,0,3,experiment,83,D4,15.531655,0
AG1209MALE20,120,0,2,experiment,0,D0,18.0026313,0
AG1209MALE20,120,0,2,experiment,63,D3,15.0078445,0
AG1209MALE20,120,0,2,experiment,0,D0,30.0461615,0
AG1209MALE20,120,0,3,experiment,83,D4,12.3815746,0
AG1209MALE20,120,0,2,experiment,63,D3,17.909849,0
AG1209MALE20,120,0,3,experiment,33,D2,15.482508,0
AG1209MALE20,120,0,3,experiment,0,D0,44.6401111,0
AG1209MALE20,120,0,3,experiment,83,D4,21.3678507,0
AG1209MALE20,120,0,4,experiment,100,D5,10.4542781,1
AG1209MALE20,120,0,4,experiment,81,D3,26.8007437,0
AG1209MALE20,120,0,4,experiment,100,D5,,0
AG1401MALE20,150,1,2,training,100,D5,,1
AG1401MALE20,150,1,2,training,50,D2,,0
AG1401MALE20,120,0,3,experiment,75,D3,101.362078,0
AG1401MALE20,120,0,2,experiment,100,D5,43.0900231,1
AG1401MALE20,120,0,4,experiment,100,D5,108.419482,1
AG1401MALE20,120,0,4,experiment,100,D5,40.1131381,1
AG1401MALE20,120,0,2,experiment,0,D0,81.5419257,0
AG1401MALE20,120,0,3,experiment,33,D2,103.639542,0
AG1401MALE20,120,0,2,experiment,50,D2,21.2483703,0
AG1401MALE20,120,0,2,experiment,100,D5,111.854475,1
AG1401MALE20,120,0,4,experiment,100,D5,103.085245,1
AG1401MALE20,120,0,3,experiment,100,D5,59.1610194,1
AG1401MALE20,120,0,4,experiment,100,D5,89.2807657,1
AG1401MALE20,120,0,3,experiment,100,D5,60.0660862,1
AG1401MALE20,120,0,2,experiment,25,D1,73.7951794,0
AG1401MALE20,120,0,3,experiment,83,D4,86.4939026,0
AG1401MALE20,120,0,2,experiment,75,D4,72.0712131,0
AG1401MALE20,120,0,3,experiment,100,D5,50.2056765,1
AG1401MALE20,120,0,4,experiment,81,D3,90.5327386,0
AG1401MALE20,120,0,4,experiment,81,D3,87.2662266,0
AG2402MALE20,150,1,2,training,75,D4,,0
AG2402MALE20,150,1,2,training,50,D2,,0
AG2402MALE20,120,0,4,experiment,100,D5,58.9694371,1
AG2402MALE20,120,0,4,experiment,100,D5,55.8783321,1
AG2402MALE20,120,0,4,experiment,25,D2,18.8462891,0
AG2402MALE20,120,0,3,experiment,100,D5,70.0644225,1
AG2402MALE20,120,0,3,experiment,75,D3,72.4554276,0
AG2402MALE20,120,0,3,experiment,100,D5,59.3190577,1
AG2402MALE20,120,0,4,experiment,87,D4,99.2124598,0
AG2402MALE20,120,0,2,experiment,100,D5,50.2706423,1
AG2402MALE20,120,0,2,experiment,75,D4,58.6630079,0
AG2402MALE20,120,0,2,experiment,75,D4,61.9587482,0
AG2402MALE20,120,0,3,experiment,75,D3,36.602961,0
AG2402MALE20,120,0,2,experiment,100,D5,49.3558341,1
AG2402MALE20,120,0,4,experiment,87,D4,23.1185485,0
AG2402MALE20,120,0,3,experiment,83,D4,77.657682,0
AG2402MALE20,120,0,3,experiment,100,D5,47.9867876,1
