,Kx,FOx,RMx,RMk,PROP_FOx,AVG_RMx
73,607,207,149.1066666666667,207,0.34102141680395387,0.7203220611916267
74,594,202,145.368253968254,202,0.3400673400673401,0.7196448216250199
75,583,189,135.0031746031746,189,0.3241852487135506,0.714302511127908
76,574,212,156.56349206349213,212,0.3693379790940767,0.7385070380353402
77,564,192,148.8803174603175,192,0.3404255319148936,0.7754183201058203
78,552,207,154.8726984126985,207,0.375,0.7481772870178671
79,537,188,145.85682539682534,188,0.3500931098696462,0.775834177642688
80,522,171,129.44000000000003,171,0.3275862068965517,0.7569590643274855
81,508,182,140.90444444444447,182,0.35826771653543305,0.7742002442002444
82,498,184,141.73269841269845,184,0.36947791164658633,0.7702864044168394
83,483,188,141.74158730158732,188,0.38923395445134573,0.7539446133063155
84,468,188,140.46412698412703,188,0.4017094017094017,0.747149611617697
85,454,176,127.82857142857148,176,0.3876651982378855,0.7262987012987016
86,438,146,100.93142857142858,146,0.3333333333333333,0.6913111545988259
87,426,149,115.5146031746032,149,0.34976525821596244,0.7752657931181423
88,412,153,115.50571428571428,153,0.3713592233009709,0.754939309056956
89,399,145,111.54222222222222,145,0.3634085213032581,0.7692567049808429
90,384,129,92.52222222222223,129,0.3359375,0.7172265288544358
91,374,123,89.8838095238095,123,0.32887700534759357,0.7307626790553619
92,362,130,98.6326984126984,130,0.35911602209944754,0.7587130647130647
93,352,130,89.93492063492063,130,0.3693181818181818,0.6918070818070817
94,346,131,97.387619047619,131,0.3786127167630058,0.7434169392948015
95,337,143,106.2847619047619,143,0.42433234421364985,0.7432500832500831
96,327,136,102.90730158730157,136,0.41590214067278286,0.7566713352007469
97,319,112,80.62507936507933,112,0.3510971786833856,0.7198667800453512
98,309,111,81.32349206349204,111,0.3592233009708738,0.7326440726440724
99,300,112,87.4511111111111,112,0.37333333333333335,0.780813492063492
100,290,122,93.83968253968254,122,0.4206896551724138,0.7691777257351028
101,278,107,81.70095238095234,107,0.38489208633093525,0.7635603026257228
102,267,109,81.56158730158728,109,0.40823970037453183,0.7482714431338283
103,251,107,81.08126984126983,107,0.4262948207171315,0.7577688770212133
104,237,95,71.31587301587297,95,0.4008438818565401,0.7506934001670839
105,227,95,70.23650793650792,95,0.4185022026431718,0.7393316624895571
106,217,95,70.85142857142856,95,0.4377880184331797,0.7458045112781954
107,206,83,63.00952380952376,83,0.4029126213592233,0.7591508892713706
108,197,87,66.3111111111111,87,0.4416243654822335,0.7621966794380587
109,186,74,51.56857142857141,74,0.3978494623655914,0.6968725868725866
110,178,80,64.55682539682536,80,0.449438202247191,0.806960317460317
111,159,72,50.13238095238093,72,0.4528301886792453,0.6962830687830684
112,142,69,47.9853968253968,69,0.4859154929577465,0.6954405337014029
113,129,64,47.14761904761902,64,0.49612403100775193,0.7366815476190471
114,119,49,34.21523809523809,49,0.4117647058823529,0.6982701652089407
115,100,40,30.00952380952381,40,0.4,0.7502380952380953
116,82,38,27.774285714285718,38,0.4634146341463415,0.7309022556390978
117,54,19,15.623174603174604,19,0.35185185185185186,0.8222723475355055
118,26,11,6.940634920634922,11,0.4230769230769231,0.6309668109668111
119,7,10,8.94063492063492,10,1.4285714285714286,0.894063492063492
