"KOD","PLEC","WIEK","RAV","TAO","FIG","CRT_7","FAN_CON","FAN_ELI","RAV_CON","RAV_ELI","TAO_CON","TAO_ELI","FIG_CON","FIG_ELI","FFA/MMA","FMA","FMA_wgl","MMA","MMA_wgl","F/M","F/M_WGL","WGL","WGL_wgl","RAT","RAT_wgl","NFC","REL_1","REL_2","ATEIST","PSEUDO","PARA","CONSP","ST_CLOSE","ST_INT","MC_4","MC_123","CS_LET_4","CS_LET_6","CS_LET_8","ARR_LET_5","ARR_LET_7","ARR_LET_9","TREL_P1","TREL_P2","TREL_L1","TREL_L2"
"70",70,"m",21,14,12,11,4,0,0,24,13,24,28,21,24,"F",3,3,NA,NA,3,3,3,3,4,6,130,3,9,1,68,14,78,50,27,0.433333333333333,0.6,2.4,4.8,4.2,2.67,1.869,0,0.8,0.66,6.22385541297625,7.74172343444364
"71",71,"k",22,17,11,11,4,14,22,28,19,22,25,22,26,"F",4,0,NA,NA,4,0,4,0,5,4,148,41,35,0,67,39,27,28,29,0.266666666666667,0.866666666666667,3.2,3.6,2.4,2.67,0.931,0.603000000000001,0.76,0.64,5.97512801141316,6.83637797759125
"72",72,"k",23,15,14,10,4,10,22,28,12,25,23,15,22,"F",4,0,NA,NA,4,0,3,0,2,0,101,42,42,0,47,60,36,31,31,0.233333333333333,0.922222222222222,3.2,3.6,3.8,2.67,0.931,0.594000000000001,0.68,0.54,5.03047496191503,5.85937218168544
"73",73,"k",19,15,16,15,5,0,0,21,11,21,9,24,9,"M",NA,NA,5,1,5,1,3,1,3,0,113,37,35,0,41,26,22,28,23,0.3,0.811111111111111,2.8,3.2,5.8,3.665,3.262,2.403,0.84,0.78,6.2505546208531,6.26654345176154
"74",74,"m",20,11,12,7,7,16,29,32,7,17,19,18,17,"M",NA,NA,5,0,5,0,3,0,7,8,NA,21,13,0,23,17,7,22,26,0.3,0.855555555555555,3.8,4.8,3.6,5,5.131,7.803,0.86,0.7,5.55392913164535,6.17338946103171
"75",75,"k",21,11,11,7,1,0,0,19,19,19,17,17,22,"M",NA,NA,2,0,2,0,3,0,4,0,117,35,26,0,57,11,17,27,35,0.266666666666667,0.811111111111111,3.2,4.4,3.6,0.665,1.869,1.8,0.54,0.48,6.07363782717963,7.32087257337
"76",76,"m",18,11,18,10,3,19,25,29,16,28,18,18,24,"M",NA,NA,6,4,6,4,2,1,6,1,125,32,16,0,70,54,80,45,45,0.433333333333333,0.9,4,3.8,4.6,4.33,5.138,6.597,0.94,0.78,7.10155486602383,7.1442217224059
"77",77,"k",26,16,18,9,4,16,24,22,19,25,20,16,23,"M",NA,NA,4,0,4,0,5,0,12,3,136,27,29,0,36,41,44,22,33,0.266666666666667,0.833333333333333,4,4.6,4.8,1.335,3.731,5.4,0.94,0.92,5.54209927245702,6.22759480303391
"78",78,"k",27,10,7,9,4,9,26,31,7,27,13,25,12,"M",NA,NA,4,3,4,3,2,1,8,1,129,2,0,1,48,74,75,23,32,0.166666666666667,0.866666666666667,2.2,4.4,3.8,2.335,3.269,1.8,0.48,0.38,2.83082881611267,3.62149344463637
"79",79,"m",22,13,10,9,4,17,24,30,14,25,10,26,23,"M",NA,NA,4,1,4,1,5,0,12,0,139,0,0,1,8,5,21,19,22,0.4,0.811111111111111,3.4,4.8,6.6,3.33,4.2,2.403,0.86,0.74,5.54062673495861,7.05658397219756
"80",80,"k",22,8,11,10,4,16,15,20,16,12,19,20,17,"M",NA,NA,3,0,3,0,2,1,6,3,95,0,0,1,41,6,47,27,22,0.433333333333333,0.888888888888889,2.8,4.8,3,2.335,2.331,4.203,0.9,0.82,6.32689306626378,7.86924363512049
"81",81,"m",30,15,15,11,4,18,17,27,8,18,21,26,12,"F",5,3,NA,NA,5,3,4,2,2,0,118,23,21,0,46,4,63,30,24,0.366666666666667,0.922222222222222,4,5,6.4,3.33,4.669,5.4,0.9,0.8,6.60097298396244,7.43045278166975
"82",82,"k",21,15,14,11,5,13,20,24,9,19,13,16,15,"F",4,0,NA,NA,4,0,4,0,9,0,135,36,30,0,31,13,45,27,22,0.4,0.766666666666667,4,5.6,5,3,1.4,3.6,0.38,0.48,2.17709355317054,1.81978285647841
"83",83,"m",27,10,10,7,2,24,15,22,15,24,23,21,22,"F",1,0,NA,NA,1,0,1,0,1,0,120,38,29,0,48,43,51,40,34,0.166666666666667,0.822222222222222,4,2.4,3.4,1,0.931,1.8,0.7,0.64,6.927301703778,8.33329464081281
"84",84,"k",21,12,11,8,2,0,0,27,15,23,23,23,23,"F",4,1,NA,NA,4,1,4,0,4,0,142,11,6,1,55,63,62,26,33,0.233333333333333,0.8,3.4,2.6,4,3.67,3.262,3.006,0.9,0.72,5.489772441908,6.27469211824028
"85",85,"k",18,17,14,10,6,4,28,28,14,28,14,20,21,"M",NA,NA,6,1,6,1,6,0,8,0,157,16,25,1,33,28,2,13,29,0.5,0.833333333333333,4,6,7.8,5,4.2,7.2,0.96,0.9,5.18600905556396,6.70397496808533
"86",86,"k",24,13,12,9,1,16,21,18,13,17,20,15,14,"M",NA,NA,2,0,2,0,4,0,8,2,126,18,21,1,47,43,52,22,27,0.466666666666667,0.8,4,4.6,3.2,-0.335,2.8,2.997,0.72,0.84,6.26502649390222,5.94704023525047
"87",87,"k",21,15,16,10,4,0,0,24,17,25,18,25,18,"M",NA,NA,4,0,4,0,4,3,5,2,126,11,5,1,46,44,55,22,28,0.2,0.822222222222222,3.8,4.4,3.6,4.665,6.531,4.797,0.96,0.94,5.45262890605187,7.19561889148744
